avg_context_surprisal_gap,avg_first_token_surprisal,dataset,lm_cc,lm_cc_density,loc,num_functions,num_semantic_units,ppl,total_tokens,uid
0.25731605508675176,1.7797021865844727,humaneval,2.8,7.198123455047607,5,1,6,11.941133853248562,26,HumanEval_41
-0.006398132197015609,8.43901538848877,humaneval,2.8,3.331949234008789,3,1,4,5.820273294842188,30,HumanEval_42
-0.07230490338835927,8.439016342163086,humaneval,9.6,35.13453596830368,7,1,8,2.720546446410282,67,HumanEval_43
0.179640193421316,1.780746340751648,humaneval,7.3999999999999995,5.360771782696247,9,1,9,2.4185111672744246,56,HumanEval_44
0.17188062807545065,1.7797021865844727,humaneval,2.8,3.126573085784912,5,1,6,4.279740658399411,28,HumanEval_45
-0.011692000577520383,8.425043106079102,humaneval,10.2,12.686785206198692,11,1,10,2.343993029113478,101,HumanEval_46
0.005144310286975926,8.425043106079102,humaneval,9.2,10.096167892217636,7,1,8,1.765448920232095,85,HumanEval_47
0.14479805445298552,1.780746340751648,humaneval,4.4,10.881244696676731,8,1,7,1.9522839231441862,58,HumanEval_48
0.2492934129910455,1.780746340751648,humaneval,5.8,5.2154029458761215,8,1,8,3.2494314617304667,50,HumanEval_49
0.04068599744363034,1.780746340751648,humaneval,4.4,3.3588178157806396,6,1,7,2.957388922899874,55,HumanEval_51
0.01652435010894098,8.439016342163086,humaneval,4.4,13.600368447601795,6,1,5,3.7150519335365235,42,HumanEval_52
0.50727999460993,1.7809771299362183,humaneval,2.8,0.5210486054420471,5,1,6,2.9548617957112544,25,HumanEval_53
0.27021173531344783,1.780746340751648,humaneval,2.8,5.126750469207764,5,1,6,3.3041928873741306,38,HumanEval_54
0.14997409526989156,1.780746340751648,humaneval,5.6,3.249155942350626,9,1,8,1.7169980364624837,59,HumanEval_55
-0.003659039329209212,8.439016342163086,humaneval,11.0,22.787245705723763,11,1,9,2.6116649403075027,73,HumanEval_56
-0.046152815559051104,8.439016342163086,humaneval,4.2,6.116400063037872,5,1,5,3.8206906635245117,42,HumanEval_57
0.01996475999840186,8.439016342163086,humaneval,9.0,18.232540529221296,8,1,8,2.42645458720677,70,HumanEval_58
0.09965247329041038,6.244968891143799,humaneval,12.2,11.854177726432681,14,2,10,1.8815271147680857,121,HumanEval_59
0.3395698844738629,1.780746340751648,humaneval,2.8,4.353872776031494,5,1,6,3.374360678312949,31,HumanEval_60
0.07955144067561966,1.780746340751648,humaneval,11.0,20.773807264864445,13,1,11,2.214685880141431,76,HumanEval_61
0.03537758601898396,8.439016342163086,humaneval,2.8,3.9758965969085693,3,1,4,6.585058845269979,33,HumanEval_62
0.04834979336010292,1.78778076171875,humaneval,6.999999999999999,5.787938177585602,11,1,9,1.9639922561410281,88,HumanEval_63
0.03312632790622934,1.78778076171875,humaneval,8.6,6.841166406869888,9,1,10,2.304342237925918,89,HumanEval_64
0.10715916238774804,1.780746340751648,humaneval,9.2,22.46976973116398,9,1,10,2.6927098367780515,69,HumanEval_65
-0.07684145346045113,8.439016342163086,humaneval,4.2,7.9229069501161575,4,1,5,5.566730645890638,44,HumanEval_66
-0.06895482575690204,8.439016342163086,humaneval,9.0,25.455965101718903,7,1,8,4.4301991777050675,61,HumanEval_67
-0.050090044174742485,8.439016342163086,humaneval,6.999999999999999,18.67710244655609,6,1,7,3.2999398400378577,76,HumanEval_68
-0.03614038792632831,8.425043106079102,humaneval,11.799999999999999,23.586182236671448,12,1,12,2.8728200700510342,90,HumanEval_69
0.08771664735671701,1.780746340751648,humaneval,7.3999999999999995,9.184024646878242,10,1,9,3.2379991790316356,67,HumanEval_70
0.02072164174169302,1.78778076171875,humaneval,8.6,13.141393527388573,10,1,10,1.6982759962183376,103,HumanEval_71
-0.04218251201718186,8.425043106079102,humaneval,13.599999999999998,28.976232782006264,12,1,11,3.2894920792117714,84,HumanEval_72
-0.06085728972363446,8.439016342163086,humaneval,9.0,25.179345935583115,7,1,8,2.9142032491173038,64,HumanEval_73
0.07157803138917578,1.78778076171875,humaneval,11.799999999999999,30.86145005375147,16,1,12,2.2725881093507185,92,HumanEval_74
0.11616673720815521,2.8910595178604126,humaneval,21.799999999999997,30.1993488073349,22,2,18,1.7078582820850334,159,HumanEval_75
-0.1027507864374427,8.439016342163086,humaneval,10.2,18.2382797524333,8,1,9,3.6289725769081165,69,HumanEval_76
0.03584955026033438,8.439016342163086,humaneval,4.2,2.998405694961548,4,1,5,3.9335647419699473,42,HumanEval_77
0.003897317999508232,1.780746340751648,humaneval,10.399999999999999,27.30550353974104,10,1,11,3.4291344480073076,78,HumanEval_78
0.07000082527935904,1.780746340751648,humaneval,2.8,4.6034345626831055,5,1,6,6.467173596514579,36,HumanEval_79
-0.046581735054889085,8.425043106079102,humaneval,10.6,37.91656272113323,10,1,11,2.3287323883327375,95,HumanEval_80
-0.0065497294280069205,8.430657386779785,humaneval,18.2,36.33465440198779,33,1,14,1.438251647471357,315,HumanEval_81
0.03313457519274022,1.780746340751648,humaneval,8.8,23.22126180306077,11,1,10,2.4905752465919933,69,HumanEval_82
0.08087040366939245,1.780746340751648,humaneval,5.8,15.56463661044836,7,1,8,6.487578971118271,47,HumanEval_83
-0.07511324259954003,8.439016342163086,humaneval,2.8,6.87218713760376,3,1,4,5.6104490098743,32,HumanEval_84
-0.08262202345455687,8.439016342163086,humaneval,2.8,5.095687389373779,3,1,4,4.345285216359718,45,HumanEval_85
0.09151749758078068,1.780746340751648,humaneval,2.8,5.503476142883301,5,1,6,4.418258214641101,41,HumanEval_86
0.0405003861787038,1.78778076171875,humaneval,14.2,2.3431079387664795,12,1,13,2.5094923279061967,101,HumanEval_87
-0.08689800452529675,8.439016342163086,humaneval,2.8,4.608616828918457,3,1,4,5.246889665235262,49,HumanEval_88
-0.055472672870080286,8.425043106079102,humaneval,9.0,20.483565166592598,10,1,8,2.429749570564662,83,HumanEval_89
0.09955447558313608,1.780746340751648,humaneval,4.2,2.6038074493408203,6,1,7,3.6040854576888384,43,HumanEval_90
-0.07775351725395699,8.439016342163086,humaneval,5.6,11.060978412628174,5,1,6,5.419840583418836,59,HumanEval_91
0.056398370462518777,1.78778076171875,humaneval,9.2,24.66119121015072,10,1,10,2.3432424004371946,84,HumanEval_92
0.03838505069786131,1.78778076171875,humaneval,6.999999999999999,3.1476001739501953,8,1,9,2.578399103074815,94,HumanEval_93
0.024064615513059075,6.303664207458496,humaneval,16.4,12.952689690515399,17,2,14,2.8480421860109026,141,HumanEval_94
-0.022928869860428993,8.430657386779785,humaneval,38.4,122.69003806635737,24,1,21,2.2083029582041775,191,HumanEval_95
0.01811965616139145,1.78778076171875,humaneval,10.6,23.084245420992374,14,1,11,1.7668952719266964,93,HumanEval_96
0.160745466848042,1.780746340751648,humaneval,2.8,1.470689058303833,5,1,6,3.9739084073508755,35,HumanEval_97
0.0632140848857279,1.780746340751648,humaneval,5.8,14.441658914089203,9,1,8,2.4820526517714,60,HumanEval_98
0.02923863738814884,1.78778076171875,humaneval,20.199999999999996,64.83956637606025,23,1,20,2.5091707185630248,149,HumanEval_99
-0.07906137030847647,8.439016342163086,humaneval,2.8,6.0310468673706055,3,1,4,7.137237015771432,33,HumanEval_100
0.04328272579473325,1.78778076171875,humaneval,13.399999999999999,35.900075666606426,17,1,14,2.4092119699654373,95,HumanEval_101
-0.029283430495045403,8.439016342163086,humaneval,11.799999999999999,27.355353355407715,9,1,10,3.3538236433570563,61,HumanEval_102
-0.0370691367283915,8.439016342163086,humaneval,8.6,21.382390320301056,8,1,8,3.9831761845605853,72,HumanEval_103
0.04457710987881528,1.780746340751648,humaneval,7.199999999999999,20.720031298696995,9,1,9,2.9038798934290373,77,HumanEval_104
0.02797932904454526,1.78778076171875,humaneval,17.2,20.39642783254385,23,1,15,1.950115586609641,153,HumanEval_105
-0.030865084410179405,8.425043106079102,humaneval,18.4,32.9955108165741,13,1,13,2.182811059351001,106,HumanEval_106
