avg_context_surprisal_gap,avg_first_token_surprisal,dataset,lm_cc,lm_cc_density,loc,num_functions,num_semantic_units,ppl,total_tokens,uid,pass_at_1
-0.0790613703084764,8.439016342163086,humaneval,2.8,6.0310468673706055,3,1,4,7.137237015771432,33,HumanEval_100,1.0
0.0432827257947332,1.78778076171875,humaneval,13.4,35.900075666606426,17,1,12,2.4092119699654373,95,HumanEval_101,1.0
-0.0292834304950454,8.439016342163086,humaneval,10.4,27.355353355407715,9,1,9,3.3538236433570563,61,HumanEval_102,1.0
-0.0370691367283915,8.439016342163086,humaneval,8.6,21.382390320301056,8,1,8,3.983176184560585,72,HumanEval_103,0.6
0.0445771098788152,1.780746340751648,humaneval,5.8,20.720031298696995,9,1,7,2.9038798934290373,77,HumanEval_104,1.0
0.0279793290445452,1.78778076171875,humaneval,15.2,20.39642783254385,23,1,13,1.950115586609641,153,HumanEval_105,1.0
-0.0308650844101794,8.425043106079102,humaneval,11.2,32.9955108165741,13,1,9,2.182811059351001,106,HumanEval_106,1.0
0.0517989310990591,6.082347512245178,humaneval,8.6,11.666591014713047,14,2,8,1.7902873454541772,163,HumanEval_107,0.8
0.0034219525066543,6.886172294616699,humaneval,10.6,3.657770484685898,9,2,9,2.9947249596759136,116,HumanEval_108,1.0
-0.0342225032738318,8.425043106079102,humaneval,14.4,33.37429189682007,14,1,12,2.8686128475592136,128,HumanEval_109,1.0
0.0294504130698947,1.78778076171875,humaneval,8.6,27.501742001622915,15,1,9,2.101383045017236,98,HumanEval_110,1.0
0.0369336977975243,1.78778076171875,humaneval,16.799999999999997,48.71719143539667,17,1,14,2.644996891426937,120,HumanEval_111,1.0
-0.0238211356200884,8.439016342163086,humaneval,4.2,1.1473772525787354,4,1,5,5.238689314066475,49,HumanEval_112,1.0
-0.0640097939880094,8.425043106079102,humaneval,7.399999999999999,13.869761645793917,7,1,7,6.640487849296168,97,HumanEval_113,0.8
0.1192146990182766,1.78778076171875,humaneval,16.4,20.857276171445847,15,1,14,2.6063443371918025,115,HumanEval_114,1.0
0.3699221034223834,0.9352821707725524,humaneval,4.0,6.563817024230957,6,1,6,6.9243935385080295,41,HumanEval_115,1.0
0.0865820546168834,1.780746340751648,humaneval,2.8,4.655378818511963,5,1,5,4.089307686672371,40,HumanEval_116,1.0
0.0300189464107015,1.78778076171875,humaneval,10.8,28.14117703214288,13,1,10,2.084665259734181,114,HumanEval_117,1.0
0.0418786138301152,1.78778076171875,humaneval,10.6,42.69321820139885,13,1,10,1.927846912907359,147,HumanEval_118,1.0
0.1200100813365469,2.8456469774246216,humaneval,10.2,14.61061991378665,18,2,10,2.236489978687222,138,HumanEval_119,1.0
0.0582305608141059,1.780746340751648,humaneval,8.6,10.93604637682438,9,1,9,3.7262322106659913,45,HumanEval_120,1.0
0.087899003316321,1.780746340751648,humaneval,2.8,6.807899951934815,5,1,5,3.4818500305666564,45,HumanEval_121,1.0
-0.0549927580480774,8.439016342163086,humaneval,2.8,6.122804164886475,3,1,4,7.3417796826767345,39,HumanEval_122,1.0
-0.059163850303976,8.425043106079102,humaneval,13.8,29.988816514611244,16,1,11,2.445859005577046,124,HumanEval_123,1.0
0.0275502676563835,1.7888953685760498,humaneval,9.2,27.16488361172378,20,1,9,1.5558540381906505,195,HumanEval_124,1.0
0.0200072245584247,1.78778076171875,humaneval,7.799999999999999,22.93020263314247,10,1,8,3.453980009181933,82,HumanEval_125,1.0
0.0220944460511587,1.78778076171875,humaneval,6.999999999999999,23.1822030544281,13,1,8,2.235005059214441,116,HumanEval_126,1.0
0.0276382264638529,2.959082126617432,humaneval,13.4,10.502911473624408,20,2,12,1.935111163987102,150,HumanEval_127,1.0
0.0990626925397946,1.780746340751648,humaneval,7.199999999999999,10.718298763036728,8,1,8,3.7857307275795193,74,HumanEval_128,1.0
0.0160734662649052,1.7888953685760498,humaneval,25.0,72.39228119142354,31,1,18,1.6841470771787432,232,HumanEval_129,1.0
-0.002574873585642,8.425043106079102,humaneval,10.8,23.41723935306072,11,1,9,2.25958894233655,126,HumanEval_130,0.2
6.678861765457051e-05,1.78778076171875,humaneval,13.4,31.3271081186831,15,1,12,2.3050856073602666,99,HumanEval_131,1.0
-0.0099734597123252,8.430657386779785,humaneval,17.4,37.39982386678457,20,1,16,2.085944214219095,177,HumanEval_132,1.0
